original,disfluent,tokenized_disfluent,tokenized_fluent,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,degree,label
Who invited Washington to fight with him,Who invited Cavelier or instead Washington to fight with him,"['Who', 'invited', 'Cavelier', 'or', 'instead', 'Washington', 'to', 'fight', 'with', 'him']","['Who', 'invited', 'Washington', 'to', 'fight', 'with', 'him']",What was Ganys central Who invited Washington to fight with him,"['Who', 'invited', 'Washington', 'to', 'fight', 'with', 'him']","['What', 'was', 'Ganys', 'central', 'Who', 'invited', 'Washington', 'to', 'fight', 'with', 'him']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is the definition of agency as it relates to capabilities ,What is the goal instead definition of agency as it relates to capabilities,"['What', 'is', 'the', 'goal', 'instead', 'definition', 'of', 'agency', 'as', 'it', 'relates', 'to', 'capabilities']","['What', 'is', 'the', 'definition', 'of', 'agency', 'as', 'it', 'relates', 'to', 'capabilities']",Who did Internet2 partner with What is the definition of agency as it relates to capabilities,"['What', 'is', 'the', 'definition', 'of', 'agency', 'as', 'it', 'relates', 'to', 'capabilities']","['Who', 'did', 'Internet2', 'partner', 'with', 'What', 'is', 'the', 'definition', 'of', 'agency', 'as', 'it', 'relates', 'to', 'capabilities']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
 Who was the 3rd to rule the Yuan dynasty,What did or rather who was the 3rd to rule the Yuan dynasty,"['What', 'did', 'or', 'rather', 'who', 'was', 'the', '3rd', 'to', 'rule', 'the', 'Yuan', 'dynasty']","['Who', 'was', 'the', '3rd', 'to', 'rule', 'the', 'Yuan', 'dynasty']",What is Who was the 3rd to rule the Yuan dynasty,"['Who', 'was', 'the', '3rd', 'to', 'rule', 'the', 'Yuan', 'dynasty']","['What', 'is', 'Who', 'was', 'the', '3rd', 'to', 'rule', 'the', 'Yuan', 'dynasty']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What did Mongols worship,How did or no rather what did Mongols worship,"['How', 'did', 'or', 'no', 'rather', 'what', 'did', 'Mongols', 'worship']","['What', 'did', 'Mongols', 'worship']",How wide is the second What did Mongols worship,"['What', 'did', 'Mongols', 'worship']","['How', 'wide', 'is', 'the', 'second', 'What', 'did', 'Mongols', 'worship']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",restart,N/A,3
Other than 7 and 13 what other year interval do cicadas pupate ,What is er rather other than 7 and 13 what other year interval do cicadas pupate,"['What', 'is', 'er', 'rather', 'other', 'than', '7', 'and', '13', 'what', 'other', 'year', 'interval', 'do', 'cicadas', 'pupate']","['Other', 'than', '7', 'and', '13', 'what', 'other', 'year', 'interval', 'do', 'cicadas', 'pupate']",What type of commutative ring does Other than 7 and 13 what other year interval do cicadas pupate,"['Other', 'than', '7', 'and', '13', 'what', 'other', 'year', 'interval', 'do', 'cicadas', 'pupate']","['What', 'type', 'of', 'commutative', 'ring', 'does', 'Other', 'than', '7', 'and', '13', 'what', 'other', 'year', 'interval', 'do', 'cicadas', 'pupate']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Student enrollment increased as a result of increased crime and poverty in which neighborhood,What happened no Student enrollment increased as a result of increased crime and poverty in which neighborhood,"['What', 'happened', 'no', 'Student', 'enrollment', 'increased', 'as', 'a', 'result', 'of', 'increased', 'crime', 'and', 'poverty', 'in', 'which', 'neighborhood']","['Student', 'enrollment', 'increased', 'as', 'a', 'result', 'of', 'increased', 'crime', 'and', 'poverty', 'in', 'which', 'neighborhood']",What is included in the data Student enrollment increased as a result of increased crime and poverty in which neighborhood,"['Student', 'enrollment', 'increased', 'as', 'a', 'result', 'of', 'increased', 'crime', 'and', 'poverty', 'in', 'which', 'neighborhood']","['What', 'is', 'included', 'in', 'the', 'data', 'Student', 'enrollment', 'increased', 'as', 'a', 'result', 'of', 'increased', 'crime', 'and', 'poverty', 'in', 'which', 'neighborhood']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What was result of French attack of trading centre,What happened after the British wait no the French attack on the trading centre,"['What', 'happened', 'after', 'the', 'British', 'wait', 'no', 'the', 'French', 'attack', 'on', 'the', 'trading', 'centre']","['What', 'was', 'result', 'of', 'French', 'attack', 'of', 'trading', 'centre']",Was services were not What was result of French attack of trading centre,"['What', 'was', 'result', 'of', 'French', 'attack', 'of', 'trading', 'centre']","['Was', 'services', 'were', 'not', 'What', 'was', 'result', 'of', 'French', 'attack', 'of', 'trading', 'centre']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is economic liberalism one of the causes of,What types or  what is economic liberalism one of the causes of,"['What', 'types', 'or', 'what', 'is', 'economic', 'liberalism', 'one', 'of', 'the', 'causes', 'of']","['What', 'is', 'economic', 'liberalism', 'one', 'of', 'the', 'causes', 'of']",How much of the Noord River flows What is economic liberalism one of the causes of,"['What', 'is', 'economic', 'liberalism', 'one', 'of', 'the', 'causes', 'of']","['How', 'much', 'of', 'the', 'Noord', 'River', 'flows', 'What', 'is', 'economic', 'liberalism', 'one', 'of', 'the', 'causes', 'of']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
During which decade was there an increase in student applications,During which project no um decade was there an increase in student applications,"['During', 'which', 'project', 'no', 'um', 'decade', 'was', 'there', 'an', 'increase', 'in', 'student', 'applications']","['During', 'which', 'decade', 'was', 'there', 'an', 'increase', 'in', 'student', 'applications']",Who was appointed as second in command During which decade was there an increase in student applications,"['During', 'which', 'decade', 'was', 'there', 'an', 'increase', 'in', 'student', 'applications']","['Who', 'was', 'appointed', 'as', 'second', 'in', 'command', 'During', 'which', 'decade', 'was', 'there', 'an', 'increase', 'in', 'student', 'applications']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How much are CO2 levels expected to increase over the next 100 years,Where  rather how much are CO2 levels expected to increase over the next 100 years,"['Where', 'rather', 'how', 'much', 'are', 'CO2', 'levels', 'expected', 'to', 'increase', 'over', 'the', 'next', '100', 'years']","['How', 'much', 'are', 'CO2', 'levels', 'expected', 'to', 'increase', 'over', 'the', 'next', '100', 'years']",What is How much are CO2 levels expected to increase over the next 100 years,"['How', 'much', 'are', 'CO2', 'levels', 'expected', 'to', 'increase', 'over', 'the', 'next', '100', 'years']","['What', 'is', 'How', 'much', 'are', 'CO2', 'levels', 'expected', 'to', 'increase', 'over', 'the', 'next', '100', 'years']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What did the people of Rome accept as the only fertile plain,What did the people of Gany no Rome accept as the only fertile plain,"['What', 'did', 'the', 'people', 'of', 'Gany', 'no', 'Rome', 'accept', 'as', 'the', 'only', 'fertile', 'plain']","['What', 'did', 'the', 'people', 'of', 'Rome', 'accept', 'as', 'the', 'only', 'fertile', 'plain']",How long had John Paul II been What did the people of Rome accept as the only fertile plain,"['What', 'did', 'the', 'people', 'of', 'Rome', 'accept', 'as', 'the', 'only', 'fertile', 'plain']","['How', 'long', 'had', 'John', 'Paul', 'II', 'been', 'What', 'did', 'the', 'people', 'of', 'Rome', 'accept', 'as', 'the', 'only', 'fertile', 'plain']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Which theorem can be simplified to the prime ideals theorem,What type er which theorem can be simplified to the prime ideals theorem,"['What', 'type', 'er', 'which', 'theorem', 'can', 'be', 'simplified', 'to', 'the', 'prime', 'ideals', 'theorem']","['Which', 'theorem', 'can', 'be', 'simplified', 'to', 'the', 'prime', 'ideals', 'theorem']",What is one uncertainty about the theory Which theorem can be simplified to the prime ideals theorem,"['Which', 'theorem', 'can', 'be', 'simplified', 'to', 'the', 'prime', 'ideals', 'theorem']","['What', 'is', 'one', 'uncertainty', 'about', 'the', 'theory', 'Which', 'theorem', 'can', 'be', 'simplified', 'to', 'the', 'prime', 'ideals', 'theorem']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Along with English and mathematics what subject replaced values education for fourth year students,Along with English and maths I mean mathematics what subject replaced values education for fourth year students,"['Along', 'with', 'English', 'and', 'maths', 'I', 'mean', 'mathematics', 'what', 'subject', 'replaced', 'values', 'education', 'for', 'fourth', 'year', 'students']","['Along', 'with', 'English', 'and', 'mathematics', 'what', 'subject', 'replaced', 'values', 'education', 'for', 'fourth', 'year', 'students']",NSF developed into what thro Along with English and mathematics what subject replaced values education for fourth year students,"['Along', 'with', 'English', 'and', 'mathematics', 'what', 'subject', 'replaced', 'values', 'education', 'for', 'fourth', 'year', 'students']","['NSF', 'developed', 'into', 'what', 'thro', 'Along', 'with', 'English', 'and', 'mathematics', 'what', 'subject', 'replaced', 'values', 'education', 'for', 'fourth', 'year', 'students']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What did using fossils help change for scientists,How  rather what did using fossils help change for scientists,"['How', 'rather', 'what', 'did', 'using', 'fossils', 'help', 'change', 'for', 'scientists']","['What', 'did', 'using', 'fossils', 'help', 'change', 'for', 'scientists']",The second item of business on What did using fossils help change for scientists,"['What', 'did', 'using', 'fossils', 'help', 'change', 'for', 'scientists']","['The', 'second', 'item', 'of', 'business', 'on', 'What', 'did', 'using', 'fossils', 'help', 'change', 'for', 'scientists']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When was the the second Gan empire founded,What year no when was the the second Gan empire founded,"['What', 'year', 'no', 'when', 'was', 'the', 'the', 'second', 'Gan', 'empire', 'founded']","['When', 'was', 'the', 'the', 'second', 'Gan', 'empire', 'founded']",Who developed When was the the second Gan empire founded,"['When', 'was', 'the', 'the', 'second', 'Gan', 'empire', 'founded']","['Who', 'developed', 'When', 'was', 'the', 'the', 'second', 'Gan', 'empire', 'founded']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When did the name black death officially take root in England,When did the name black death officially take root in Scandinavia no sorry England rather,"['When', 'did', 'the', 'name', 'black', 'death', 'officially', 'take', 'root', 'in', 'Scandinavia', 'no', 'sorry', 'England', 'rather']","['When', 'did', 'the', 'name', 'black', 'death', 'officially', 'take', 'root', 'in', 'England']",What type of garden When did the name black death officially take root in England,"['When', 'did', 'the', 'name', 'black', 'death', 'officially', 'take', 'root', 'in', 'England']","['What', 'type', 'of', 'garden', 'When', 'did', 'the', 'name', 'black', 'death', 'officially', 'take', 'root', 'in', 'England']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How far did the sea level drop in the ice ages,How high was the sea no no how far did the sea level drop during the ice ages,"['How', 'high', 'was', 'the', 'sea', 'no', 'no', 'how', 'far', 'did', 'the', 'sea', 'level', 'drop', 'during', 'the', 'ice', 'ages']","['How', 'far', 'did', 'the', 'sea', 'level', 'drop', 'in', 'the', 'ice', 'ages']",What is How far did the sea level drop in the ice ages,"['How', 'far', 'did', 'the', 'sea', 'level', 'drop', 'in', 'the', 'ice', 'ages']","['What', 'is', 'How', 'far', 'did', 'the', 'sea', 'level', 'drop', 'in', 'the', 'ice', 'ages']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Subjects that are inside the legislative competence of the Scotland Parliament are called what,Subjects that are inside the legislative competence of the European or I mean Scottish Parliament are called what,"['Subjects', 'that', 'are', 'inside', 'the', 'legislative', 'competence', 'of', 'the', 'European', 'or', 'I', 'mean', 'Scottish', 'Parliament', 'are', 'called', 'what']","['Subjects', 'that', 'are', 'inside', 'the', 'legislative', 'competence', 'of', 'the', 'Scotland', 'Parliament', 'are', 'called', 'what']",How many Subjects that are inside the legislative competence of the Scotland Parliament are called what,"['Subjects', 'that', 'are', 'inside', 'the', 'legislative', 'competence', 'of', 'the', 'Scotland', 'Parliament', 'are', 'called', 'what']","['How', 'many', 'Subjects', 'that', 'are', 'inside', 'the', 'legislative', 'competence', 'of', 'the', 'Scotland', 'Parliament', 'are', 'called', 'what']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is one criminal bavior that is hard to stop by authorities,What is one criminal bavior that is hard to stop by government officials or like authorities,"['What', 'is', 'one', 'criminal', 'bavior', 'that', 'is', 'hard', 'to', 'stop', 'by', 'government', 'officials', 'or', 'like', 'authorities']","['What', 'is', 'one', 'criminal', 'bavior', 'that', 'is', 'hard', 'to', 'stop', 'by', 'authorities']",Under which field did What is one criminal bavior that is hard to stop by authorities,"['What', 'is', 'one', 'criminal', 'bavior', 'that', 'is', 'hard', 'to', 'stop', 'by', 'authorities']","['Under', 'which', 'field', 'did', 'What', 'is', 'one', 'criminal', 'bavior', 'that', 'is', 'hard', 'to', 'stop', 'by', 'authorities']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What was the population of Europe in 1665,What  percentage of the population died in the 1625 outbreak of the Black Death no change this to what was the population of Europe in 1665,"['What', 'percentage', 'of', 'the', 'population', 'died', 'in', 'the', '1625', 'outbreak', 'of', 'the', 'Black', 'Death', 'no', 'change', 'this', 'to', 'what', 'was', 'the', 'population', 'of', 'Europe', 'in', '1665']","['What', 'was', 'the', 'population', 'of', 'Europe', 'in', '1665']",How many people belong What was the population of Europe in 1665,"['What', 'was', 'the', 'population', 'of', 'Europe', 'in', '1665']","['How', 'many', 'people', 'belong', 'What', 'was', 'the', 'population', 'of', 'Europe', 'in', '1665']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Where in the ocean are volcano arcs located,Where in the ocean are linear regions no I meant volcano arcs located,"['Where', 'in', 'the', 'ocean', 'are', 'linear', 'regions', 'no', 'I', 'meant', 'volcano', 'arcs', 'located']","['Where', 'in', 'the', 'ocean', 'are', 'volcano', 'arcs', 'located']",What nonJapanese empire Where in the ocean are volcano arcs located,"['Where', 'in', 'the', 'ocean', 'are', 'volcano', 'arcs', 'located']","['What', 'nonJapanese', 'empire', 'Where', 'in', 'the', 'ocean', 'are', 'volcano', 'arcs', 'located']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Where does the Rhine end,Where does the Rhine begin or no I mean end,"['Where', 'does', 'the', 'Rhine', 'begin', 'or', 'no', 'I', 'mean', 'end']","['Where', 'does', 'the', 'Rhine', 'end']",What wasnt the Where does the Rhine end,"['Where', 'does', 'the', 'Rhine', 'end']","['What', 'wasnt', 'the', 'Where', 'does', 'the', 'Rhine', 'end']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
 When was the Ottoman Caliphate maintained,When was the Mammad Qutb no the Ottoman Caliphate maintained,"['When', 'was', 'the', 'Mammad', 'Qutb', 'no', 'the', 'Ottoman', 'Caliphate', 'maintained']","['When', 'was', 'the', 'Ottoman', 'Caliphate', 'maintained']",What does the utilitarian principle seek When was the Ottoman Caliphate maintained,"['When', 'was', 'the', 'Ottoman', 'Caliphate', 'maintained']","['What', 'does', 'the', 'utilitarian', 'principle', 'seek', 'When', 'was', 'the', 'Ottoman', 'Caliphate', 'maintained']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What happened to the credibility of secular politics as a result of the SixDay War,What was the defeat of the Arab troops I mean happened to the credibility of secular politics as a result of the SixDay War,"['What', 'was', 'the', 'defeat', 'of', 'the', 'Arab', 'troops', 'I', 'mean', 'happened', 'to', 'the', 'credibility', 'of', 'secular', 'politics', 'as', 'a', 'result', 'of', 'the', 'SixDay', 'War']","['What', 'happened', 'to', 'the', 'credibility', 'of', 'secular', 'politics', 'as', 'a', 'result', 'of', 'the', 'SixDay', 'War']",Who was What happened to the credibility of secular politics as a result of the SixDay War,"['What', 'happened', 'to', 'the', 'credibility', 'of', 'secular', 'politics', 'as', 'a', 'result', 'of', 'the', 'SixDay', 'War']","['Who', 'was', 'What', 'happened', 'to', 'the', 'credibility', 'of', 'secular', 'politics', 'as', 'a', 'result', 'of', 'the', 'SixDay', 'War']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Who challenged the plague theory first,What did or first tell me who challenged the plague theory first,"['What', 'did', 'or', 'first', 'tell', 'me', 'who', 'challenged', 'the', 'plague', 'theory', 'first']","['Who', 'challenged', 'the', 'plague', 'theory', 'first']",What medical school is Who challenged the plague theory first,"['Who', 'challenged', 'the', 'plague', 'theory', 'first']","['What', 'medical', 'school', 'is', 'Who', 'challenged', 'the', 'plague', 'theory', 'first']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What was abnormal British defense,How much er  what was abnormal British defense,"['How', 'much', 'er', 'what', 'was', 'abnormal', 'British', 'defense']","['What', 'was', 'abnormal', 'British', 'defense']",Harold Wilson published What was abnormal British defense,"['What', 'was', 'abnormal', 'British', 'defense']","['Harold', 'Wilson', 'published', 'What', 'was', 'abnormal', 'British', 'defense']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Other than UChicago or simply Chicago what is another t for the University of Graham Business,Other than UChicago or simply Chicago what is another t for the University of Harris wait no Graham Business,"['Other', 'than', 'UChicago', 'or', 'simply', 'Chicago', 'what', 'is', 'another', 't', 'for', 'the', 'University', 'of', 'Harris', 'wait', 'no', 'Graham', 'Business']","['Other', 'than', 'UChicago', 'or', 'simply', 'Chicago', 'what', 'is', 'another', 't', 'for', 'the', 'University', 'of', 'Graham', 'Business']",Who works to Other than UChicago or simply Chicago what is another t for the University of Graham Business,"['Other', 'than', 'UChicago', 'or', 'simply', 'Chicago', 'what', 'is', 'another', 't', 'for', 'the', 'University', 'of', 'Graham', 'Business']","['Who', 'works', 'to', 'Other', 'than', 'UChicago', 'or', 'simply', 'Chicago', 'what', 'is', 'another', 't', 'for', 'the', 'University', 'of', 'Graham', 'Business']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Who was added to party as Washington went on the way,Who was added to party as Dinwiddie oh gosh I mean Washington went on the way,"['Who', 'was', 'added', 'to', 'party', 'as', 'Dinwiddie', 'oh', 'gosh', 'I', 'mean', 'Washington', 'went', 'on', 'the', 'way']","['Who', 'was', 'added', 'to', 'party', 'as', 'Washington', 'went', 'on', 'the', 'way']",What do forces have with Who was added to party as Washington went on the way,"['Who', 'was', 'added', 'to', 'party', 'as', 'Washington', 'went', 'on', 'the', 'way']","['What', 'do', 'forces', 'have', 'with', 'Who', 'was', 'added', 'to', 'party', 'as', 'Washington', 'went', 'on', 'the', 'way']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What conjecture holds that there are always a minimum of 4 primes  between the squares of consecutive primes greater than 2,Which or rather what conjecture holds that there are always a minimum of 4 primes between the squares of consecutive primes greater than 2,"['Which', 'or', 'rather', 'what', 'conjecture', 'holds', 'that', 'there', 'are', 'always', 'a', 'minimum', 'of', '4', 'primes', 'between', 'the', 'squares', 'of', 'consecutive', 'primes', 'greater', 'than', '2']","['What', 'conjecture', 'holds', 'that', 'there', 'are', 'always', 'a', 'minimum', 'of', '4', 'primes', 'between', 'the', 'squares', 'of', 'consecutive', 'primes', 'greater', 'than', '2']",When did the What conjecture holds that there are always a minimum of 4 primes between the squares of consecutive primes greater than 2,"['What', 'conjecture', 'holds', 'that', 'there', 'are', 'always', 'a', 'minimum', 'of', '4', 'primes', 'between', 'the', 'squares', 'of', 'consecutive', 'primes', 'greater', 'than', '2']","['When', 'did', 'the', 'What', 'conjecture', 'holds', 'that', 'there', 'are', 'always', 'a', 'minimum', 'of', '4', 'primes', 'between', 'the', 'squares', 'of', 'consecutive', 'primes', 'greater', 'than', '2']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Packet switching uses what kind of network ,What factor detines Packet switching no scratch that and tell me what kind of network uses it,"['What', 'factor', 'detines', 'Packet', 'switching', 'no', 'scratch', 'that', 'and', 'tell', 'me', 'what', 'kind', 'of', 'network', 'uses', 'it']","['Packet', 'switching', 'uses', 'what', 'kind', 'of', 'network']",What can the Packet switching uses what kind of network,"['Packet', 'switching', 'uses', 'what', 'kind', 'of', 'network']","['What', 'can', 'the', 'Packet', 'switching', 'uses', 'what', 'kind', 'of', 'network']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When is the Members Debate held,What is the or rather when is Members Debate held,"['What', 'is', 'the', 'or', 'rather', 'when', 'is', 'Members', 'Debate', 'held']","['When', 'is', 'the', 'Members', 'Debate', 'held']",What law staes that forces When is the Members Debate held,"['When', 'is', 'the', 'Members', 'Debate', 'held']","['What', 'law', 'staes', 'that', 'forces', 'When', 'is', 'the', 'Members', 'Debate', 'held']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Bell Northern Research developed TRANSPAC as a joint venture between which two companies,Lets say Bell Northern Research allowed a host to oops developed TRANSPAC as a joint venture between which two companies,"['Lets', 'say', 'Bell', 'Northern', 'Research', 'allowed', 'a', 'host', 'to', 'oops', 'developed', 'TRANSPAC', 'as', 'a', 'joint', 'venture', 'between', 'which', 'two', 'companies']","['Bell', 'Northern', 'Research', 'developed', 'TRANSPAC', 'as', 'a', 'joint', 'venture', 'between', 'which', 'two', 'companies']",What studies use pluton Bell Northern Research developed TRANSPAC as a joint venture between which two companies,"['Bell', 'Northern', 'Research', 'developed', 'TRANSPAC', 'as', 'a', 'joint', 'venture', 'between', 'which', 'two', 'companies']","['What', 'studies', 'use', 'pluton', 'Bell', 'Northern', 'Research', 'developed', 'TRANSPAC', 'as', 'a', 'joint', 'venture', 'between', 'which', 'two', 'companies']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
The lithosphere moves over which mantle n the theory of plate tectonics,The lithosphere moves over what or rather which mantle in the theory of plate tectonics,"['The', 'lithosphere', 'moves', 'over', 'what', 'or', 'rather', 'which', 'mantle', 'in', 'the', 'theory', 'of', 'plate', 'tectonics']","['The', 'lithosphere', 'moves', 'over', 'which', 'mantle', 'n', 'the', 'theory', 'of', 'plate', 'tectonics']",If three The lithosphere moves over which mantle n the theory of plate tectonics,"['The', 'lithosphere', 'moves', 'over', 'which', 'mantle', 'n', 'the', 'theory', 'of', 'plate', 'tectonics']","['If', 'three', 'The', 'lithosphere', 'moves', 'over', 'which', 'mantle', 'n', 'the', 'theory', 'of', 'plate', 'tectonics']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When did tides and currents reach the highest sealevel rise,How did tides and currents no no sorry when did they reach the highest sealevel rise,"['How', 'did', 'tides', 'and', 'currents', 'no', 'no', 'sorry', 'when', 'did', 'they', 'reach', 'the', 'highest', 'sealevel', 'rise']","['When', 'did', 'tides', 'and', 'currents', 'reach', 'the', 'highest', 'sealevel', 'rise']",What is When did tides and currents reach the highest sealevel rise,"['When', 'did', 'tides', 'and', 'currents', 'reach', 'the', 'highest', 'sealevel', 'rise']","['What', 'is', 'When', 'did', 'tides', 'and', 'currents', 'reach', 'the', 'highest', 'sealevel', 'rise']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
In what year was Cambridge founded,Was the er in what year was Cambridge founded,"['Was', 'the', 'er', 'in', 'what', 'year', 'was', 'Cambridge', 'founded']","['In', 'what', 'year', 'was', 'Cambridge', 'founded']",Who argued that objects retain In what year was Cambridge founded,"['In', 'what', 'year', 'was', 'Cambridge', 'founded']","['Who', 'argued', 'that', 'objects', 'retain', 'In', 'what', 'year', 'was', 'Cambridge', 'founded']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Where was Montcalm focusing the offense for New France,What other reason no where was Montcalm focusing the offense for New France,"['What', 'other', 'reason', 'no', 'where', 'was', 'Montcalm', 'focusing', 'the', 'offense', 'for', 'New', 'France']","['Where', 'was', 'Montcalm', 'focusing', 'the', 'offense', 'for', 'New', 'France']",Which leaders did the Islamic Where was Montcalm focusing the offense for New France,"['Where', 'was', 'Montcalm', 'focusing', 'the', 'offense', 'for', 'New', 'France']","['Which', 'leaders', 'did', 'the', 'Islamic', 'Where', 'was', 'Montcalm', 'focusing', 'the', 'offense', 'for', 'New', 'France']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Who is responsible for running the National Greenhouse Gas Inventories Programme,Who is responsible for running the IPCC oh not that running the National Greenhouse Gas Inventories Programme,"['Who', 'is', 'responsible', 'for', 'running', 'the', 'IPCC', 'oh', 'not', 'that', 'running', 'the', 'National', 'Greenhouse', 'Gas', 'Inventories', 'Programme']","['Who', 'is', 'responsible', 'for', 'running', 'the', 'National', 'Greenhouse', 'Gas', 'Inventories', 'Programme']",What nationality is Who is responsible for running the National Greenhouse Gas Inventories Programme,"['Who', 'is', 'responsible', 'for', 'running', 'the', 'National', 'Greenhouse', 'Gas', 'Inventories', 'Programme']","['What', 'nationality', 'is', 'Who', 'is', 'responsible', 'for', 'running', 'the', 'National', 'Greenhouse', 'Gas', 'Inventories', 'Programme']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
