original,disfluent,tokenized_disfluent,tokenized_fluent,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,label,degree
If there is no radio or 10BASE5 how are the packets delivered,If there is no radio or 10BASE5 where no how are the packets delivered,"['If', 'there', 'is', 'no', 'radio', 'or', '10BASE5', 'where', 'no', 'how', 'are', 'the', 'packets', 'delivered']","['If', 'there', 'is', 'no', 'radio', 'or', '10BASE5', 'how', 'are', 'the', 'packets', 'delivered']",If there be no wait is no radio or 10BASE5 how are the packets delivered,"['If', 'there', 'is', 'no', 'radio', 'or', '10BASE5', 'how', 'are', 'the', 'packets', 'delivered']","['If', 'there', 'be', 'no', 'wait', 'is', 'no', 'radio', 'or', '10BASE5', 'how', 'are', 'the', 'packets', 'delivered']","['F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What lands were reserved for the French,Who issued er what lands were reserved for the French,"['Who', 'issued', 'er', 'what', 'lands', 'were', 'reserved', 'for', 'the', 'French']","['What', 'lands', 'were', 'reserved', 'for', 'the', 'French']",What land I mean What lands were reserved for the French,"['What', 'lands', 'were', 'reserved', 'for', 'the', 'French']","['What', 'land', 'I', 'mean', 'What', 'lands', 'were', 'reserved', 'for', 'the', 'French']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What amount did Harvard cut from their 2012 financial aid reserve,What amount did Harvard cut from their 2008 er  2012 financial aid reserve,"['What', 'amount', 'did', 'Harvard', 'cut', 'from', 'their', '2008', 'er', '2012', 'financial', 'aid', 'reserve']","['What', 'amount', 'did', 'Harvard', 'cut', 'from', 'their', '2012', 'financial', 'aid', 'reserve']",What amount do I mean did Harvard cut from their 2012 financial aid reserve,"['What', 'amount', 'did', 'Harvard', 'cut', 'from', 'their', '2012', 'financial', 'aid', 'reserve']","['What', 'amount', 'do', 'I', 'mean', 'did', 'Harvard', 'cut', 'from', 'their', '2012', 'financial', 'aid', 'reserve']","['F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
When was the European portion of the Six Years War complete,Where was the or no make that when was the European portion of the Six Years War complete,"['Where', 'was', 'the', 'or', 'no', 'make', 'that', 'when', 'was', 'the', 'European', 'portion', 'of', 'the', 'Six', 'Years', 'War', 'complete']","['When', 'was', 'the', 'European', 'portion', 'of', 'the', 'Six', 'Years', 'War', 'complete']",When go no wait was the European portion of the Six Years War complete,"['When', 'was', 'the', 'European', 'portion', 'of', 'the', 'Six', 'Years', 'War', 'complete']","['When', 'go', 'no', 'wait', 'was', 'the', 'European', 'portion', 'of', 'the', 'Six', 'Years', 'War', 'complete']","['F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
In the range between 1980 and 1990 what did demand for grow,In the range between 1980 and 2000 sorry 1990 what did demand for grow,"['In', 'the', 'range', 'between', '1980', 'and', '2000', 'sorry', '1990', 'what', 'did', 'demand', 'for', 'grow']","['In', 'the', 'range', 'between', '1980', 'and', '1990', 'what', 'did', 'demand', 'for', 'grow']",In the range between 1980 and 1990 what do well I actually meant did demand for grow,"['In', 'the', 'range', 'between', '1980', 'and', '1990', 'what', 'did', 'demand', 'for', 'grow']","['In', 'the', 'range', 'between', '1980', 'and', '1990', 'what', 'do', 'well', 'I', 'actually', 'meant', 'did', 'demand', 'for', 'grow']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What cells are not eliminated by the immune system,What cells are not eliminated by the body rather the  immune system,"['What', 'cells', 'are', 'not', 'eliminated', 'by', 'the', 'body', 'rather', 'the', 'immune', 'system']","['What', 'cells', 'are', 'not', 'eliminated', 'by', 'the', 'immune', 'system']",What cells are not eliminate well I actually mean eliminated by the immune system,"['What', 'cells', 'are', 'not', 'eliminated', 'by', 'the', 'immune', 'system']","['What', 'cells', 'are', 'not', 'eliminate', 'well', 'I', 'actually', 'mean', 'eliminated', 'by', 'the', 'immune', 'system']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
King Sigimunds Column is an example of what kind of attraction in UNESCO,King Sigimunds Column is an example of archdiocese  no what kind of attraction in UNESCO,"['King', 'Sigimunds', 'Column', 'is', 'an', 'example', 'of', 'archdiocese', 'no', 'what', 'kind', 'of', 'attraction', 'in', 'UNESCO']","['King', 'Sigimunds', 'Column', 'is', 'an', 'example', 'of', 'what', 'kind', 'of', 'attraction', 'in', 'UNESCO']",King Sigimunds Column be no wait Sigimunds Column is an example of what kind of attraction in UNESCO,"['King', 'Sigimunds', 'Column', 'is', 'an', 'example', 'of', 'what', 'kind', 'of', 'attraction', 'in', 'UNESCO']","['King', 'Sigimunds', 'Column', 'be', 'no', 'wait', 'Sigimunds', 'Column', 'is', 'an', 'example', 'of', 'what', 'kind', 'of', 'attraction', 'in', 'UNESCO']","['F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What did Platos perspective on science combine,Tell me about what the library records at Harvard reveal no what did Platos perspective on science combine,"['Tell', 'me', 'about', 'what', 'the', 'library', 'records', 'at', 'Harvard', 'reveal', 'no', 'what', 'did', 'Platos', 'perspective', 'on', 'science', 'combine']","['What', 'did', 'Platos', 'perspective', 'on', 'science', 'combine']",What do I am sorry What did Platos perspective on science combine,"['What', 'did', 'Platos', 'perspective', 'on', 'science', 'combine']","['What', 'do', 'I', 'am', 'sorry', 'What', 'did', 'Platos', 'perspective', 'on', 'science', 'combine']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Killer T cells can only recognize antigens coupled to what kind of molecules,Killer T cells can only recognize pathogens wait wait no antigens coupled to what kind of molecules,"['Killer', 'T', 'cells', 'can', 'only', 'recognize', 'pathogens', 'wait', 'wait', 'no', 'antigens', 'coupled', 'to', 'what', 'kind', 'of', 'molecules']","['Killer', 'T', 'cells', 'can', 'only', 'recognize', 'antigens', 'coupled', 'to', 'what', 'kind', 'of', 'molecules']",Killer T cells can only recognise I mean can only recognize antigens coupled to what kind of molecules,"['Killer', 'T', 'cells', 'can', 'only', 'recognize', 'antigens', 'coupled', 'to', 'what', 'kind', 'of', 'molecules']","['Killer', 'T', 'cells', 'can', 'only', 'recognise', 'I', 'mean', 'can', 'only', 'recognize', 'antigens', 'coupled', 'to', 'what', 'kind', 'of', 'molecules']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What will maidens be able to predict by floating their programmes down the Vistula,When is  what will maidens be able to predict by floating their programmes down the Vistula,"['When', 'is', 'what', 'will', 'maidens', 'be', 'able', 'to', 'predict', 'by', 'floating', 'their', 'programmes', 'down', 'the', 'Vistula']","['What', 'will', 'maidens', 'be', 'able', 'to', 'predict', 'by', 'floating', 'their', 'programmes', 'down', 'the', 'Vistula']",What will maidens stand actually no maidens be able to predict by floating their programmes down the Vistula,"['What', 'will', 'maidens', 'be', 'able', 'to', 'predict', 'by', 'floating', 'their', 'programmes', 'down', 'the', 'Vistula']","['What', 'will', 'maidens', 'stand', 'actually', 'no', 'maidens', 'be', 'able', 'to', 'predict', 'by', 'floating', 'their', 'programmes', 'down', 'the', 'Vistula']","['F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What car is licensed by the FSO Tico Factory and built in Egypt,What model rather car is licensed by the FSO Tico Factory and built in Egypt,"['What', 'model', 'rather', 'car', 'is', 'licensed', 'by', 'the', 'FSO', 'Tico', 'Factory', 'and', 'built', 'in', 'Egypt']","['What', 'car', 'is', 'licensed', 'by', 'the', 'FSO', 'Tico', 'Factory', 'and', 'built', 'in', 'Egypt']",What car be no i meant to say car is licensed by the FSO Tico Factory and built in Egypt,"['What', 'car', 'is', 'licensed', 'by', 'the', 'FSO', 'Tico', 'Factory', 'and', 'built', 'in', 'Egypt']","['What', 'car', 'be', 'no', 'i', 'meant', 'to', 'say', 'car', 'is', 'licensed', 'by', 'the', 'FSO', 'Tico', 'Factory', 'and', 'built', 'in', 'Egypt']","['F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Why is the final bill passed to the Monarch,Why is the ruling on whether no um final bill passed to the Monarch,"['Why', 'is', 'the', 'ruling', 'on', 'whether', 'no', 'um', 'final', 'bill', 'passed', 'to', 'the', 'Monarch']","['Why', 'is', 'the', 'final', 'bill', 'passed', 'to', 'the', 'Monarch']",Why be wait a minute Why is the final bill passed to the Monarch,"['Why', 'is', 'the', 'final', 'bill', 'passed', 'to', 'the', 'Monarch']","['Why', 'be', 'wait', 'a', 'minute', 'Why', 'is', 'the', 'final', 'bill', 'passed', 'to', 'the', 'Monarch']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What is another name for the sheath the mouth can be withdrawn to,What is another name for the sheath the mouth can be protected by oh no I mean withdrawn to,"['What', 'is', 'another', 'name', 'for', 'the', 'sheath', 'the', 'mouth', 'can', 'be', 'protected', 'by', 'oh', 'no', 'I', 'mean', 'withdrawn', 'to']","['What', 'is', 'another', 'name', 'for', 'the', 'sheath', 'the', 'mouth', 'can', 'be', 'withdrawn', 'to']",What is another name for the sheath the mouth can keep wait a minute can be withdrawn to,"['What', 'is', 'another', 'name', 'for', 'the', 'sheath', 'the', 'mouth', 'can', 'be', 'withdrawn', 'to']","['What', 'is', 'another', 'name', 'for', 'the', 'sheath', 'the', 'mouth', 'can', 'keep', 'wait', 'a', 'minute', 'can', 'be', 'withdrawn', 'to']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
How do mesoglea control how brackish body fluids are,How do buoyancy no a mesoglea control how brackish body fluids are,"['How', 'do', 'buoyancy', 'no', 'a', 'mesoglea', 'control', 'how', 'brackish', 'body', 'fluids', 'are']","['How', 'do', 'mesoglea', 'control', 'how', 'brackish', 'body', 'fluids', 'are']",How make no wait a minute How do mesoglea control how brackish body fluids are,"['How', 'do', 'mesoglea', 'control', 'how', 'brackish', 'body', 'fluids', 'are']","['How', 'make', 'no', 'wait', 'a', 'minute', 'How', 'do', 'mesoglea', 'control', 'how', 'brackish', 'body', 'fluids', 'are']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Who was famous for disobedience against a tax collector,Who was unable to perform his duty hoo boy famous for disobedience against a tax collector,"['Who', 'was', 'unable', 'to', 'perform', 'his', 'duty', 'hoo', 'boy', 'famous', 'for', 'disobedience', 'against', 'a', 'tax', 'collector']","['Who', 'was', 'famous', 'for', 'disobedience', 'against', 'a', 'tax', 'collector']",Who be I meant Who was famous for disobedience against a tax collector,"['Who', 'was', 'famous', 'for', 'disobedience', 'against', 'a', 'tax', 'collector']","['Who', 'be', 'I', 'meant', 'Who', 'was', 'famous', 'for', 'disobedience', 'against', 'a', 'tax', 'collector']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
When was the Rhine fully within the Holy Roman Empire,When was the Rhine fully within Francia er  the Holy Roman Empire,"['When', 'was', 'the', 'Rhine', 'fully', 'within', 'Francia', 'er', 'the', 'Holy', 'Roman', 'Empire']","['When', 'was', 'the', 'Rhine', 'fully', 'within', 'the', 'Holy', 'Roman', 'Empire']",When be wait was the Rhine fully within the Holy Roman Empire,"['When', 'was', 'the', 'Rhine', 'fully', 'within', 'the', 'Holy', 'Roman', 'Empire']","['When', 'be', 'wait', 'was', 'the', 'Rhine', 'fully', 'within', 'the', 'Holy', 'Roman', 'Empire']","['F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What does Warsaw Palaces mixture of architectural styles reflect,What does liberation no um Warsaw Palaces mixture of architectural styles reflect,"['What', 'does', 'liberation', 'no', 'um', 'Warsaw', 'Palaces', 'mixture', 'of', 'architectural', 'styles', 'reflect']","['What', 'does', 'Warsaw', 'Palaces', 'mixture', 'of', 'architectural', 'styles', 'reflect']",What does Warsaw Palaces mixture of architectural styles signalise actually no styles reflect,"['What', 'does', 'Warsaw', 'Palaces', 'mixture', 'of', 'architectural', 'styles', 'reflect']","['What', 'does', 'Warsaw', 'Palaces', 'mixture', 'of', 'architectural', 'styles', 'signalise', 'actually', 'no', 'styles', 'reflect']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F']",verb_with_cue,2,N/A
When did building activity occur on Banki Palace,When did building activity forms um occur on Banki Palace,"['When', 'did', 'building', 'activity', 'forms', 'um', 'occur', 'on', 'Banki', 'Palace']","['When', 'did', 'building', 'activity', 'occur', 'on', 'Banki', 'Palace']",When did building activity fulminate I am sorry activity occur on Banki Palace,"['When', 'did', 'building', 'activity', 'occur', 'on', 'Banki', 'Palace']","['When', 'did', 'building', 'activity', 'fulminate', 'I', 'am', 'sorry', 'activity', 'occur', 'on', 'Banki', 'Palace']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
When was the defeat of Napoleonic France,How no when was the defeat of Napoleonic France,"['How', 'no', 'when', 'was', 'the', 'defeat', 'of', 'Napoleonic', 'France']","['When', 'was', 'the', 'defeat', 'of', 'Napoleonic', 'France']",When be actually no was the defeat of Napoleonic France,"['When', 'was', 'the', 'defeat', 'of', 'Napoleonic', 'France']","['When', 'be', 'actually', 'no', 'was', 'the', 'defeat', 'of', 'Napoleonic', 'France']","['F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What did Maududi believe Muslim society could be Islamic in the absence of,What did Maududi believe Iranian society could be Islamic in the absence of I mean Muslim society,"['What', 'did', 'Maududi', 'believe', 'Iranian', 'society', 'could', 'be', 'Islamic', 'in', 'the', 'absence', 'of', 'I', 'mean', 'Muslim', 'society']","['What', 'did', 'Maududi', 'believe', 'Muslim', 'society', 'could', 'be', 'Islamic', 'in', 'the', 'absence', 'of']",What did Maududi believe in no did Maududi believe Muslim society could be Islamic in the absence of,"['What', 'did', 'Maududi', 'believe', 'Muslim', 'society', 'could', 'be', 'Islamic', 'in', 'the', 'absence', 'of']","['What', 'did', 'Maududi', 'believe', 'in', 'no', 'did', 'Maududi', 'believe', 'Muslim', 'society', 'could', 'be', 'Islamic', 'in', 'the', 'absence', 'of']","['F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What would change the rotational inertia of a body under Newtons First Law of Motion,What  is the rotational equivalent of velocity no sorry what would change the rotational inertia of a body under Newtons First Law of Motion,"['What', 'is', 'the', 'rotational', 'equivalent', 'of', 'velocity', 'no', 'sorry', 'what', 'would', 'change', 'the', 'rotational', 'inertia', 'of', 'a', 'body', 'under', 'Newtons', 'First', 'Law', 'of', 'Motion']","['What', 'would', 'change', 'the', 'rotational', 'inertia', 'of', 'a', 'body', 'under', 'Newtons', 'First', 'Law', 'of', 'Motion']",What would do well I actually meant What would change the rotational inertia of a body under Newtons First Law of Motion,"['What', 'would', 'change', 'the', 'rotational', 'inertia', 'of', 'a', 'body', 'under', 'Newtons', 'First', 'Law', 'of', 'Motion']","['What', 'would', 'do', 'well', 'I', 'actually', 'meant', 'What', 'would', 'change', 'the', 'rotational', 'inertia', 'of', 'a', 'body', 'under', 'Newtons', 'First', 'Law', 'of', 'Motion']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Where did Yesun Temur die,Where did Kusala rather Yesun Temur die,"['Where', 'did', 'Kusala', 'rather', 'Yesun', 'Temur', 'die']","['Where', 'did', 'Yesun', 'Temur', 'die']",Where do actually no did Yesun Temur die,"['Where', 'did', 'Yesun', 'Temur', 'die']","['Where', 'do', 'actually', 'no', 'did', 'Yesun', 'Temur', 'die']","['F', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
When did the Ganic tribes claim territory in north and west Europe,When did the Celtic no I mean Ganic tribes claim territory in north and west Europe,"['When', 'did', 'the', 'Celtic', 'no', 'I', 'mean', 'Ganic', 'tribes', 'claim', 'territory', 'in', 'north', 'and', 'west', 'Europe']","['When', 'did', 'the', 'Ganic', 'tribes', 'claim', 'territory', 'in', 'north', 'and', 'west', 'Europe']",When did the Ganic tribes vindicate no wait a minute Ganic tribes claim territory in north and west Europe,"['When', 'did', 'the', 'Ganic', 'tribes', 'claim', 'territory', 'in', 'north', 'and', 'west', 'Europe']","['When', 'did', 'the', 'Ganic', 'tribes', 'vindicate', 'no', 'wait', 'a', 'minute', 'Ganic', 'tribes', 'claim', 'territory', 'in', 'north', 'and', 'west', 'Europe']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What other sea had fish larvae accidentially introduced into it,What has the fish larvae caused a sharp drop in no not this question but what other sea had fish larvae accidentally introduced into it,"['What', 'has', 'the', 'fish', 'larvae', 'caused', 'a', 'sharp', 'drop', 'in', 'no', 'not', 'this', 'question', 'but', 'what', 'other', 'sea', 'had', 'fish', 'larvae', 'accidentally', 'introduced', 'into', 'it']","['What', 'other', 'sea', 'had', 'fish', 'larvae', 'accidentially', 'introduced', 'into', 'it']",What other sea had fish larvae accidentially introduce wait a minute accidentially introduced into it,"['What', 'other', 'sea', 'had', 'fish', 'larvae', 'accidentially', 'introduced', 'into', 'it']","['What', 'other', 'sea', 'had', 'fish', 'larvae', 'accidentially', 'introduce', 'wait', 'a', 'minute', 'accidentially', 'introduced', 'into', 'it']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Whose theory was the theory of continental drift,Who discovered plate whose theory was the theory of continental drift,"['Who', 'discovered', 'plate', 'whose', 'theory', 'was', 'the', 'theory', 'of', 'continental', 'drift']","['Whose', 'theory', 'was', 'the', 'theory', 'of', 'continental', 'drift']",Whose theory be I meant theory was the theory of continental drift,"['Whose', 'theory', 'was', 'the', 'theory', 'of', 'continental', 'drift']","['Whose', 'theory', 'be', 'I', 'meant', 'theory', 'was', 'the', 'theory', 'of', 'continental', 'drift']","['F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
How many professional schools does the University of Higher Learning consist of,Which no make that how many professional schools does the University of Higher Learning consist of,"['Which', 'no', 'make', 'that', 'how', 'many', 'professional', 'schools', 'does', 'the', 'University', 'of', 'Higher', 'Learning', 'consist', 'of']","['How', 'many', 'professional', 'schools', 'does', 'the', 'University', 'of', 'Higher', 'Learning', 'consist', 'of']",How many professional schools do I mean professional schools does the University of Higher Learning consist of,"['How', 'many', 'professional', 'schools', 'does', 'the', 'University', 'of', 'Higher', 'Learning', 'consist', 'of']","['How', 'many', 'professional', 'schools', 'do', 'I', 'mean', 'professional', 'schools', 'does', 'the', 'University', 'of', 'Higher', 'Learning', 'consist', 'of']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
 What was the only region in Europe conquered by the Ganic tribes,What was the only region in Europe not conquered by the Ganic tribes no sorry tell me the region conquered by the Ganic tribes,"['What', 'was', 'the', 'only', 'region', 'in', 'Europe', 'not', 'conquered', 'by', 'the', 'Ganic', 'tribes', 'no', 'sorry', 'tell', 'me', 'the', 'region', 'conquered', 'by', 'the', 'Ganic', 'tribes']","['What', 'was', 'the', 'only', 'region', 'in', 'Europe', 'conquered', 'by', 'the', 'Ganic', 'tribes']",What was the only region in Europe conquer actually no Europe conquered by the Ganic tribes,"['What', 'was', 'the', 'only', 'region', 'in', 'Europe', 'conquered', 'by', 'the', 'Ganic', 'tribes']","['What', 'was', 'the', 'only', 'region', 'in', 'Europe', 'conquer', 'actually', 'no', 'Europe', 'conquered', 'by', 'the', 'Ganic', 'tribes']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What person argues that civil disobedience is used to describe everything,What type of person would be involved in a test case in federal court ahh actually scratch that and tell me who argues that civil disobedience is used to describe everything,"['What', 'type', 'of', 'person', 'would', 'be', 'involved', 'in', 'a', 'test', 'case', 'in', 'federal', 'court', 'ahh', 'actually', 'scratch', 'that', 'and', 'tell', 'me', 'who', 'argues', 'that', 'civil', 'disobedience', 'is', 'used', 'to', 'describe', 'everything']","['What', 'person', 'argues', 'that', 'civil', 'disobedience', 'is', 'used', 'to', 'describe', 'everything']",What person argues that civil disobedience is use no sorry is used to describe everything,"['What', 'person', 'argues', 'that', 'civil', 'disobedience', 'is', 'used', 'to', 'describe', 'everything']","['What', 'person', 'argues', 'that', 'civil', 'disobedience', 'is', 'use', 'no', 'sorry', 'is', 'used', 'to', 'describe', 'everything']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
How do structural geologists observe the fabric within the rocks,What experiments or  how do structural geologists observe the fabric within the rocks,"['What', 'experiments', 'or', 'how', 'do', 'structural', 'geologists', 'observe', 'the', 'fabric', 'within', 'the', 'rocks']","['How', 'do', 'structural', 'geologists', 'observe', 'the', 'fabric', 'within', 'the', 'rocks']",How do structural geologists watch sorry structural geologists observe the fabric within the rocks,"['How', 'do', 'structural', 'geologists', 'observe', 'the', 'fabric', 'within', 'the', 'rocks']","['How', 'do', 'structural', 'geologists', 'watch', 'sorry', 'structural', 'geologists', 'observe', 'the', 'fabric', 'within', 'the', 'rocks']","['F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What has given the American economy a tendency to go from bubble to bubble,What has given the American citizen no rather economy a tendency to go from bubble to bubble,"['What', 'has', 'given', 'the', 'American', 'citizen', 'no', 'rather', 'economy', 'a', 'tendency', 'to', 'go', 'from', 'bubble', 'to', 'bubble']","['What', 'has', 'given', 'the', 'American', 'economy', 'a', 'tendency', 'to', 'go', 'from', 'bubble', 'to', 'bubble']",What has given the American economy a tendency to go from bubble to form bubbles wait a minute bubble to bubble,"['What', 'has', 'given', 'the', 'American', 'economy', 'a', 'tendency', 'to', 'go', 'from', 'bubble', 'to', 'bubble']","['What', 'has', 'given', 'the', 'American', 'economy', 'a', 'tendency', 'to', 'go', 'from', 'bubble', 'to', 'form', 'bubbles', 'wait', 'a', 'minute', 'bubble', 'to', 'bubble']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",verb_with_cue,2,N/A
What does the failure of a pathogen depend on,What are bacteria unable to secrete no sorry tell me what does the failure of a pathogen depend on,"['What', 'are', 'bacteria', 'unable', 'to', 'secrete', 'no', 'sorry', 'tell', 'me', 'what', 'does', 'the', 'failure', 'of', 'a', 'pathogen', 'depend', 'on']","['What', 'does', 'the', 'failure', 'of', 'a', 'pathogen', 'depend', 'on']",What do I am sorry does the failure of a pathogen depend on,"['What', 'does', 'the', 'failure', 'of', 'a', 'pathogen', 'depend', 'on']","['What', 'do', 'I', 'am', 'sorry', 'does', 'the', 'failure', 'of', 'a', 'pathogen', 'depend', 'on']","['F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What are shorter growth spells associated with,What are longer  I mean shorter growth spells associated with,"['What', 'are', 'longer', 'I', 'mean', 'shorter', 'growth', 'spells', 'associated', 'with']","['What', 'are', 'shorter', 'growth', 'spells', 'associated', 'with']",What be no sorry What are shorter growth spells associated with,"['What', 'are', 'shorter', 'growth', 'spells', 'associated', 'with']","['What', 'be', 'no', 'sorry', 'What', 'are', 'shorter', 'growth', 'spells', 'associated', 'with']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What does a US census report state that even after other factors there still exists this between earnings of men and women,What does a US census report state that even after other factors there still exists this between what factors no earnings of men and women,"['What', 'does', 'a', 'US', 'census', 'report', 'state', 'that', 'even', 'after', 'other', 'factors', 'there', 'still', 'exists', 'this', 'between', 'what', 'factors', 'no', 'earnings', 'of', 'men', 'and', 'women']","['What', 'does', 'a', 'US', 'census', 'report', 'state', 'that', 'even', 'after', 'other', 'factors', 'there', 'still', 'exists', 'this', 'between', 'earnings', 'of', 'men', 'and', 'women']",What do wait a minute does a US census report state that even after other factors there still exists this between earnings of men and women,"['What', 'does', 'a', 'US', 'census', 'report', 'state', 'that', 'even', 'after', 'other', 'factors', 'there', 'still', 'exists', 'this', 'between', 'earnings', 'of', 'men', 'and', 'women']","['What', 'do', 'wait', 'a', 'minute', 'does', 'a', 'US', 'census', 'report', 'state', 'that', 'even', 'after', 'other', 'factors', 'there', 'still', 'exists', 'this', 'between', 'earnings', 'of', 'men', 'and', 'women']","['F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
How wide of an area does the Charles River run thro,How wide of an area does the John W Weeks Bridge sorry no wait the Charles River run thro,"['How', 'wide', 'of', 'an', 'area', 'does', 'the', 'John', 'W', 'Weeks', 'Bridge', 'sorry', 'no', 'wait', 'the', 'Charles', 'River', 'run', 'thro']","['How', 'wide', 'of', 'an', 'area', 'does', 'the', 'Charles', 'River', 'run', 'thro']",How wide of an area do wait does the Charles River run thro,"['How', 'wide', 'of', 'an', 'area', 'does', 'the', 'Charles', 'River', 'run', 'thro']","['How', 'wide', 'of', 'an', 'area', 'do', 'wait', 'does', 'the', 'Charles', 'River', 'run', 'thro']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
